actor_id,name,year_of_birth,nationality,gender
1,Abbie Cornish,1982.0,Australia,female
2,Adam Sandler,1966.0,USA,male
3,Al Pacino,1940.0,USA,male
4,Amy Adams,1974.0,USA,female
5,Andrea Riseborough,1981.0,British,female
6,Anjelica Huston,1951.0,USA,female
7,Annasophia Robb,1993.0,USA,female
8,Anne Hathaway,1982.0,USA,female
9,Anthony Hopkins,1937.0,British,male
10,Barkhad Abdi,1985.0,Somalia,male
11,Barry Pepper,1970.0,Canada,male
12,Benicio Del Toro,1967.0,Puerto Rico,male
13,Bette Midler,1945.0,USA,female
14,Bill Nighy,1949.0,British,male
15,Bridget Moynahan,1971.0,USA,female
16,Bruce Dern,1936.0,USA,male
17,Bruce McGill,1950.0,USA,male
18,Bryce Dallas Howard,1981.0,USA,female
19,Carice van Houten,1976.0,Netherlands,female
20,Cate Blanchett,1969.0,Australia,female
100,Mohamad Dolati,, ,male
